TRLR_NBR,DSPTCH_NBR,LH_DSPTCH_DT,ORIG_TRML_CD,DEST_TRML_CD,LD_CUBE_FT,LD_WGT_LB,TRLR_CAP_CUBE,WGT_LMT_LB,UTIL_PCT_1,UTIL_PCT_2,CNSTRNT_CD,UTIL_PCT_3,SHPMT_CNT
TRL_00001_1,DISP_00001,2026-07-25,SGF,MEM,621,5142,2000,20000,31.05,25.71,C,31.05,1
TRL_00001_2,DISP_00001,2026-07-25,SGF,MEM,419,2827,2000,20000,20.95,14.14,C,20.95,1
TRL_00002_1,DISP_00002,2026-07-23,SGF,ATL,1370,12166,2000,20000,68.5,60.83,C,68.5,2
TRL_00002_2,DISP_00002,2026-07-23,SGF,ATL,1074,14130,2000,20000,53.7,70.65,W,70.65,3
TRL_00003_1,DISP_00003,2026-07-20,SGF,MEM,185,18498,2000,20000,9.25,92.49,W,92.49,2
TRL_00003_2,DISP_00003,2026-07-20,SGF,MEM,2000,14416,2000,20000,100.0,72.08,C,100.0,3
TRL_00004_1,DISP_00004,2026-07-23,ATL,SGF,911,10369,2000,20000,45.55,51.84,W,51.84,2
TRL_00004_2,DISP_00004,2026-07-23,ATL,SGF,899,11785,2000,20000,44.95,58.92,W,58.92,2
TRL_00005_1,DISP_00005,2026-07-24,HAR,SGF,327,7991,2000,20000,16.35,39.96,W,39.96,2
TRL_00005_2,DISP_00005,2026-07-24,HAR,SGF,311,7387,2000,20000,15.55,36.94,W,36.94,2
TRL_00006_1,DISP_00006,2026-06-20,HAR,SGF,772,11931,2000,20000,38.6,59.66,W,59.66,2
TRL_00006_2,DISP_00006,2026-06-20,HAR,SGF,1566,9455,2000,20000,78.3,47.28,C,78.3,3
TRL_00007_1,DISP_00007,2026-06-13,ATL,SGF,561,9992,2000,20000,28.05,49.96,W,49.96,1
TRL_00007_2,DISP_00007,2026-06-13,ATL,SGF,868,12115,2000,20000,43.4,60.58,W,60.58,2
TRL_00008_1,DISP_00008,2026-06-13,MEM,SGF,313,9507,2000,20000,15.65,47.54,W,47.54,1
TRL_00008_2,DISP_00008,2026-06-13,MEM,SGF,681,10814,2000,20000,34.05,54.07,W,54.07,2
TRL_00009_1,DISP_00009,2026-07-28,HAR,SGF,403,5235,2000,20000,20.15,26.17,W,26.17,1
TRL_00009_2,DISP_00009,2026-07-28,HAR,SGF,169,5588,2000,20000,8.45,27.94,W,27.94,1
TRL_00010_1,DISP_00010,2026-06-17,ATL,SGF,457,4933,2000,20000,22.85,24.66,W,24.66,1
TRL_00010_2,DISP_00010,2026-06-17,ATL,SGF,435,6039,2000,20000,21.75,30.2,W,30.2,1
TRL_00011_1,DISP_00011,2026-06-13,STL,SGF,1469,9869,2000,20000,73.45,49.34,C,73.45,2
TRL_00011_2,DISP_00011,2026-06-13,STL,SGF,1603,6849,2000,20000,80.15,34.24,C,80.15,3
TRL_00012_1,DISP_00012,2026-07-13,ATL,SGF,793,18470,2000,20000,39.65,92.35,W,92.35,2
TRL_00012_2,DISP_00012,2026-07-13,ATL,SGF,1360,11788,2000,20000,68.0,58.94,C,68.0,2
TRL_00013_1,DISP_00013,2026-06-19,HAR,SGF,167,2395,2000,20000,8.35,11.98,W,11.98,1
TRL_00013_2,DISP_00013,2026-06-19,HAR,SGF,54,8708,2000,20000,2.7,43.54,W,43.54,1
TRL_00014_1,DISP_00014,2026-06-15,SGF,HAR,1130,6166,2000,20000,56.5,30.83,C,56.5,2
TRL_00014_2,DISP_00014,2026-06-15,SGF,HAR,298,5768,2000,20000,14.9,28.84,W,28.84,2
TRLR_901,DISP_00901,2026-07-23,HAR,ATL,810,9300,2000,20000,40.5,46.5,W,46.5,2
TRLR_902,DISP_00902,2026-07-23,HAR,ATL,760,8700,2000,20000,38.0,43.5,W,43.5,2
TRLR_911,DISP_00911,2026-07-23,STL,MEM,760,9400,2000,20000,38.0,47.0,W,47.0,2
TRLR_912,DISP_00912,2026-07-23,STL,MEM,780,9500,2000,20000,39.0,47.5,W,47.5,2
TRLR_920,DISP_00920,2026-07-24,SGF,MEM,690,5600,2000,20000,34.5,28.0,C,34.5,2
TRLR_921,DISP_00921,2026-07-17,SGF,MEM,690,5600,2000,20000,34.5,28.0,C,34.5,2
TRLR_922,DISP_00922,2026-07-10,SGF,MEM,690,5600,2000,20000,34.5,28.0,C,34.5,2
