dispatch_id,trailer_id,origin_terminal,destination_terminal,driver_id,dispatch_date,shipment_ids
DISP_00001,TRL_00001_1,Atlanta,Springfield,DRV_001,2026-06-14 16:25:45.907387,"SHP_00048,SHP_00025"
DISP_00001,TRL_00001_2,Atlanta,Springfield,DRV_001,2026-06-16 16:25:45.907394,"SHP_00039,SHP_00014,SHP_00023"
DISP_00002,TRL_00002_1,Springfield,Harrison,DRV_002,2026-06-16 16:25:45.907533,SHP_00011
DISP_00002,TRL_00002_2,Springfield,Harrison,DRV_002,2026-07-11 16:25:45.907537,"SHP_00007,SHP_00048"
DISP_00003,TRL_00003_1,Springfield,Atlanta,DRV_003,2026-07-07 16:25:45.907663,SHP_00019
DISP_00003,TRL_00003_2,Springfield,Atlanta,DRV_003,2026-06-20 16:25:45.907666,"SHP_00021,SHP_00022"
DISP_00004,TRL_00004_1,Springfield,Atlanta,DRV_004,2026-06-25 16:25:45.908010,"SHP_00022,SHP_00021"
DISP_00004,TRL_00004_2,Springfield,Atlanta,DRV_004,2026-06-12 16:25:45.908013,"SHP_00034,SHP_00019"
DISP_00005,TRL_00005_1,Springfield,Saint_Louis,DRV_005,2026-06-20 16:25:45.908348,"SHP_00027,SHP_00028"
DISP_00005,TRL_00005_2,Springfield,Saint_Louis,DRV_005,2026-07-07 16:25:45.908351,"SHP_00002,SHP_00004,SHP_00047"
DISP_00006,TRL_00006_1,Memphis,Springfield,DRV_006,2026-06-25 16:25:45.908471,"SHP_00022,SHP_00031"
DISP_00006,TRL_00006_2,Memphis,Springfield,DRV_006,2026-06-14 16:25:45.908473,"SHP_00043,SHP_00011,SHP_00021"
DISP_00007,TRL_00007_1,Memphis,Springfield,DRV_007,2026-07-02 16:25:45.908699,"SHP_00022,SHP_00004"
DISP_00007,TRL_00007_2,Memphis,Springfield,DRV_007,2026-07-01 16:25:45.908702,"SHP_00021,SHP_00045"
DISP_00008,TRL_00008_1,Springfield,Harrison,DRV_008,2026-07-02 16:25:45.909031,"SHP_00046,SHP_00033"
DISP_00008,TRL_00008_2,Springfield,Harrison,DRV_008,2026-06-16 16:25:45.909034,"SHP_00043,SHP_00017"
