MVMT_NBR,SHPMT_NBR,LEG_SEQ_NBR,ORIG_TRML_CD,DEST_TRML_CD,SVC_TYP_CD
MOV_00001,SHP_00001,1,STL,SGF,Priority
MOV_00002,SHP_00001,2,SGF,MEM,Priority
MOV_00003,SHP_00002,1,STL,SGF,Economy
MOV_00004,SHP_00002,2,SGF,HAR,Economy
MOV_00005,SHP_00004,1,STL,SGF,Standard
MOV_00006,SHP_00005,1,STL,SGF,Priority
MOV_00007,SHP_00005,2,SGF,MEM,Priority
MOV_00008,SHP_00006,1,HAR,SGF,Standard
MOV_00009,SHP_00006,2,SGF,MEM,Standard
MOV_00010,SHP_00007,1,STL,SGF,Economy
MOV_00011,SHP_00008,1,ATL,SGF,Priority
MOV_00012,SHP_00008,2,SGF,STL,Priority
MOV_00013,SHP_00009,1,SGF,HAR,Economy
MOV_00014,SHP_00010,1,SGF,ATL,Economy
MOV_00015,SHP_00012,1,MEM,SGF,Standard
MOV_00016,SHP_00012,2,SGF,HAR,Standard
MOV_00017,SHP_00013,1,HAR,SGF,Standard
MOV_00018,SHP_00013,2,SGF,STL,Standard
MOV_00019,SHP_00014,1,MEM,SGF,Standard
MOV_00020,SHP_00014,2,SGF,HAR,Standard
MOV_00021,SHP_00016,1,HAR,SGF,Priority
MOV_00022,SHP_00017,1,ATL,SGF,Economy
MOV_00023,SHP_00017,2,SGF,MEM,Economy
MOV_00024,SHP_00018,1,STL,SGF,Economy
MOV_00025,SHP_00018,2,SGF,ATL,Economy
MOV_00026,SHP_00019,1,MEM,SGF,Economy
MOV_00027,SHP_00019,2,SGF,HAR,Economy
MOV_00028,SHP_00020,1,STL,SGF,Economy
MOV_00029,SHP_00020,2,SGF,HAR,Economy
MOV_00030,SHP_00022,1,HAR,SGF,Economy
MOV_00031,SHP_00023,1,STL,SGF,Priority
MOV_00032,SHP_00023,2,SGF,ATL,Priority
MOV_00033,SHP_00024,1,ATL,SGF,Priority
MOV_00034,SHP_00024,2,SGF,MEM,Priority
MOV_00035,SHP_00025,1,STL,SGF,Economy
MOV_00036,SHP_00026,1,HAR,SGF,Economy
MOV_00037,SHP_00026,2,SGF,MEM,Economy
MOV_00038,SHP_00027,1,ATL,SGF,Priority
MOV_00039,SHP_00027,2,SGF,STL,Priority
MOV_00040,SHP_00028,1,SGF,STL,Priority
MOV_00041,SHP_00029,1,STL,SGF,Standard
MOV_00042,SHP_00029,2,SGF,HAR,Standard
MOV_00043,SHP_00030,1,HAR,SGF,Priority
MOV_00044,SHP_00030,2,SGF,ATL,Priority
MOV_00045,SHP_00031,1,SGF,MEM,Standard
MOV_00046,SHP_00033,1,MEM,SGF,Standard
MOV_00047,SHP_00033,2,SGF,STL,Standard
MOV_00048,SHP_00034,1,ATL,SGF,Standard
MOV_00049,SHP_00034,2,SGF,HAR,Standard
MOV_00050,SHP_00035,1,STL,SGF,Standard
MOV_00051,SHP_00035,2,SGF,HAR,Standard
MOV_00052,SHP_00036,1,HAR,SGF,Economy
MOV_00053,SHP_00036,2,SGF,MEM,Economy
MOV_00054,SHP_00037,1,MEM,SGF,Priority
MOV_00055,SHP_00037,2,SGF,STL,Priority
MOV_00056,SHP_00039,1,MEM,SGF,Priority
MOV_00057,SHP_00039,2,SGF,STL,Priority
MOV_00058,SHP_00040,1,ATL,SGF,Priority
MOV_00059,SHP_00040,2,SGF,MEM,Priority
MOV_00060,SHP_00041,1,ATL,SGF,Standard
MOV_00061,SHP_00041,2,SGF,MEM,Standard
MOV_00062,SHP_00043,1,ATL,SGF,Standard
MOV_00063,SHP_00043,2,SGF,MEM,Standard
MOV_00064,SHP_00044,1,MEM,SGF,Economy
MOV_00065,SHP_00044,2,SGF,STL,Economy
MOV_00066,SHP_00045,1,ATL,SGF,Priority
MOV_00067,SHP_00049,1,SGF,MEM,Priority
MOV_00068,SHP_00050,1,SGF,HAR,Priority
MOV_00069,SHP_00051,1,ATL,SGF,Economy
MOV_00070,SHP_00051,2,SGF,HAR,Economy
MOV_00071,SHP_00052,1,HAR,SGF,Economy
MOV_00072,SHP_00053,1,ATL,SGF,Standard
MOV_00073,SHP_00053,2,SGF,HAR,Standard
MOV_00074,SHP_00054,1,MEM,SGF,Economy
MOV_00075,SHP_00054,2,SGF,STL,Economy
MOV_00076,SHP_00056,1,MEM,SGF,Economy
MOV_00077,SHP_00056,2,SGF,HAR,Economy
MOV_00078,SHP_00057,1,MEM,SGF,Standard
MOV_00079,SHP_00057,2,SGF,HAR,Standard
MOV_00080,SHP_00058,1,MEM,SGF,Priority
MOV_00081,SHP_00059,1,STL,SGF,Economy
MOV_00082,SHP_00060,1,SGF,STL,Economy
MOV_00083,SHP_00062,1,HAR,SGF,Economy
MOV_00084,SHP_00064,1,HAR,SGF,Economy
MOV_00085,SHP_00064,2,SGF,MEM,Economy
MOV_00086,SHP_00065,1,HAR,SGF,Priority
MOV_00087,SHP_00065,2,SGF,MEM,Priority
MOV_00088,SHP_00066,1,STL,SGF,Priority
MOV_00089,SHP_00066,2,SGF,HAR,Priority
MOV_00090,SHP_00067,1,HAR,SGF,Economy
MOV_00091,SHP_00068,1,MEM,SGF,Priority
MOV_00092,SHP_00068,2,SGF,HAR,Priority
MOV_00093,SHP_00069,1,ATL,SGF,Economy
MOV_00094,SHP_00069,2,SGF,MEM,Economy
MOV_00095,SHP_00070,1,HAR,SGF,Economy
MOV_00096,SHP_00070,2,SGF,ATL,Economy
MOV_00097,SHP_00071,1,STL,SGF,Priority
MOV_00098,SHP_00071,2,SGF,ATL,Priority
MOV_00099,SHP_00074,1,ATL,SGF,Standard
MOV_00100,SHP_00074,2,SGF,HAR,Standard
MOV_00101,SHP_00075,1,HAR,SGF,Economy
MOV_00102,SHP_00075,2,SGF,STL,Economy
MOV_00103,SHP_00077,1,SGF,STL,Priority
MOV_00104,SHP_00079,1,STL,SGF,Standard
MOV_00105,SHP_00079,2,SGF,HAR,Standard
MOV_00106,SHP_00080,1,HAR,SGF,Priority
MOV_00107,SHP_00080,2,SGF,MEM,Priority
