shipment_id,customer_id,origin_terminal,destination_terminal,service_type,weight_lbs,cube_ft,revenue,shipment_date
SHP_00001,CUST_007,Memphis,Saint_Louis,Economy,3431,471,516,2026-07-04 16:25:45.904005
SHP_00002,CUST_020,Springfield,Saint_Louis,Priority,8277,153,1743,2026-06-28 16:25:45.904014
SHP_00003,CUST_015,Springfield,Harrison,Priority,697,303,2705,2026-06-26 16:25:45.904015
SHP_00004,CUST_011,Memphis,Saint_Louis,Standard,7625,276,3024,2026-06-28 16:25:45.904016
SHP_00005,CUST_008,Atlanta,Atlanta,Priority,2430,161,1569,2026-06-30 16:25:45.904018
SHP_00006,CUST_007,Springfield,Saint_Louis,Economy,6787,559,3944,2026-06-23 16:25:45.904019
SHP_00007,CUST_019,Springfield,Harrison,Standard,9300,522,3065,2026-06-19 16:25:45.904020
SHP_00008,CUST_011,Memphis,Atlanta,Economy,9839,148,1560,2026-06-27 16:25:45.904021
SHP_00009,CUST_011,Springfield,Springfield,Economy,4782,202,2827,2026-06-14 16:25:45.904022
SHP_00010,CUST_004,Springfield,Saint_Louis,Priority,3011,387,3920,2026-07-10 16:25:45.904023
SHP_00011,CUST_008,Memphis,Harrison,Standard,1159,755,801,2026-07-10 16:25:45.904024
SHP_00012,CUST_003,Memphis,Springfield,Priority,3311,212,4776,2026-06-19 16:25:45.904025
SHP_00013,CUST_002,Harrison,Springfield,Priority,7598,769,1106,2026-06-20 16:25:45.904026
SHP_00014,CUST_012,Atlanta,Memphis,Standard,7046,730,3670,2026-06-23 16:25:45.904027
SHP_00015,CUST_006,Atlanta,Atlanta,Economy,2486,210,1199,2026-06-17 16:25:45.904028
SHP_00016,CUST_002,Springfield,Saint_Louis,Economy,8838,629,1639,2026-06-16 16:25:45.904029
SHP_00017,CUST_001,Atlanta,Harrison,Standard,3411,447,690,2026-06-12 16:25:45.904030
SHP_00018,CUST_012,Springfield,Memphis,Economy,2234,326,2800,2026-06-13 16:25:45.904031
SHP_00019,CUST_012,Harrison,Atlanta,Standard,2343,553,1480,2026-06-20 16:25:45.904032
SHP_00020,CUST_017,Memphis,Memphis,Standard,9180,441,3475,2026-06-16 16:25:45.904032
SHP_00021,CUST_010,Memphis,Atlanta,Priority,3476,184,1684,2026-06-16 16:25:45.904033
SHP_00022,CUST_016,Memphis,Atlanta,Standard,2459,244,3827,2026-06-20 16:25:45.904034
SHP_00023,CUST_015,Atlanta,Saint_Louis,Priority,6259,450,3894,2026-06-25 16:25:45.904035
SHP_00024,CUST_015,Harrison,Atlanta,Economy,7194,689,627,2026-06-22 16:25:45.904036
SHP_00025,CUST_019,Atlanta,Memphis,Economy,2885,82,2565,2026-07-02 16:25:45.904037
SHP_00026,CUST_012,Atlanta,Atlanta,Economy,5236,737,2316,2026-07-06 16:25:45.904038
SHP_00027,CUST_020,Harrison,Saint_Louis,Economy,2302,509,1069,2026-06-27 16:25:45.904039
SHP_00028,CUST_003,Harrison,Saint_Louis,Priority,8655,519,2395,2026-06-20 16:25:45.904040
SHP_00029,CUST_005,Harrison,Memphis,Economy,8620,424,3233,2026-07-01 16:25:45.904041
SHP_00030,CUST_019,Harrison,Springfield,Standard,7116,71,4363,2026-06-14 16:25:45.904042
SHP_00031,CUST_007,Memphis,Springfield,Standard,6034,799,4514,2026-07-07 16:25:45.904043
SHP_00032,CUST_009,Saint_Louis,Atlanta,Standard,4561,719,3401,2026-07-11 16:25:45.904044
SHP_00033,CUST_007,Saint_Louis,Harrison,Priority,762,87,2186,2026-07-04 16:25:45.904045
SHP_00034,CUST_018,Harrison,Atlanta,Economy,6787,279,3509,2026-06-21 16:25:45.904046
SHP_00035,CUST_004,Saint_Louis,Memphis,Economy,9315,414,654,2026-06-14 16:25:45.904047
SHP_00036,CUST_014,Saint_Louis,Memphis,Economy,9708,612,3037,2026-06-30 16:25:45.904047
SHP_00037,CUST_018,Harrison,Memphis,Priority,2549,487,1909,2026-06-30 16:25:45.904048
SHP_00038,CUST_009,Saint_Louis,Memphis,Standard,5923,332,4557,2026-07-07 16:25:45.904049
SHP_00039,CUST_002,Atlanta,Memphis,Standard,5048,76,1284,2026-07-05 16:25:45.904050
SHP_00040,CUST_020,Springfield,Saint_Louis,Economy,3608,275,3675,2026-07-08 16:25:45.904051
SHP_00041,CUST_015,Springfield,Springfield,Standard,7658,326,4841,2026-07-06 16:25:45.904052
SHP_00042,CUST_007,Harrison,Memphis,Standard,7900,658,3306,2026-06-29 16:25:45.904053
SHP_00043,CUST_012,Memphis,Harrison,Priority,3670,333,1037,2026-06-22 16:25:45.904054
SHP_00044,CUST_008,Harrison,Harrison,Priority,2755,530,2341,2026-06-12 16:25:45.904055
SHP_00045,CUST_015,Memphis,Harrison,Priority,1654,502,2955,2026-06-27 16:25:45.904056
SHP_00046,CUST_003,Springfield,Harrison,Priority,4999,708,1024,2026-07-09 16:25:45.904057
SHP_00047,CUST_014,Harrison,Saint_Louis,Economy,6795,565,3450,2026-06-19 16:25:45.904058
SHP_00048,CUST_017,Atlanta,Harrison,Priority,6697,596,4631,2026-07-04 16:25:45.904058
SHP_00049,CUST_004,Saint_Louis,Memphis,Standard,2148,241,4615,2026-06-22 16:25:45.904059
SHP_00050,CUST_018,Memphis,Atlanta,Economy,6039,98,2868,2026-06-26 16:25:45.904060
